Hypothesis_ID,Hypothesis,Tier,Domain,Status,Directional_Link_Count,Context_Link_Count,Limitation_Link_Count,Unique_Evidence_Count,T_low,T_high,I_dir_low,I_dir_high,Lambda_low,Lambda_high,I_final_low,I_final_high,F_low,F_high,C_low,C_high,T_mid,I_final_mid,F_mid,Net_mid,Diagnostic
H01,Bronze A was cast/produced broadly within the 5th century BC.,Intermediate,chronology,ACTIVE,3.0,4.0,1.0,8.0,0.75145257460271,0.9615935214243836,0.03840647857561641,0.24854742539729002,0.22146768553533802,0.49217498193524667,0.25136837019125013,0.6183935827275734,0.0,0.09615935214243843,0.0,0.09615935214243843,0.8565230480135468,0.43488097645941176,0.04807967607121921,0.8084433719423276,Strong support
H02,Bronze B was cast/produced broadly within the 5th century BC.,Intermediate,chronology,ACTIVE,4.0,2.0,0.0,6.0,0.75145257460271,0.9615935214243836,0.03840647857561641,0.24854742539729002,0.0,0.0,0.03840647857561641,0.24854742539729002,0.0,0.09615935214243843,0.0,0.09615935214243843,0.8565230480135468,0.14347695198645322,0.04807967607121921,0.8084433719423276,Strong support
H03,A and B differ in production date by roughly the stylistically expected multi-decade interval.,Intermediate,relative chronology,ACTIVE,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.681651049420554,0.9109110830132433,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Indeterminate
H04,A and B were manufactured in the 1st century BC as neo-Attic products.,Intermediate,chronology,ACTIVE-NEGATIVE,1.0,0.0,0.0,1.0,0.0,0.0906412619207031,0.09358738079296958,0.3157422068457356,0.0,0.0,0.09358738079296958,0.3157422068457356,0.6842577931542644,0.9064126192070304,0.0,0.0906412619207031,0.04532063096035155,0.2046647938193526,0.7953352061806473,-0.7500145752202958,Strong opposition
H05,The principal casting-core materials of A and B are materially/compositionally distinct.,Intermediate,relation A/B,ACTIVE,8.0,1.0,0.0,9.0,0.9831196076721123,0.9999148419890208,8.51580109792157e-05,0.016880392327887777,0.0,0.0,8.515801097919162e-05,0.01688039232788774,0.0,0.259860362933814,0.0,0.259860362933814,0.9915172248305666,0.008482775169433465,0.129930181466907,0.8615870433636597,Strong support
H06,The principal casting-core materials of A and B derive from a broadly related geological region/basin.,Intermediate,relation A/B / provenance,ACTIVE,3.0,3.0,0.0,6.0,0.7430043541564375,0.9372434316070191,0.06275656839298088,0.2569956458435625,0.0,0.0,0.06275656839298094,0.2569956458435625,0.0,0.15957942425578497,0.0,0.15957942425578497,0.8401238928817283,0.15987610711827172,0.07978971212789249,0.7603341807538357,Strong support
H07,Southern Italy is the source region of the principal casting cores.,Intermediate,provenance,LEGACY-AGGREGATE,1.0,0.0,1.0,2.0,0.0,0.08435119877855235,0.24083921099302874,0.49583980785643034,0.5205325395267981,0.7739086616855372,0.6360071044039952,0.8860137474333836,0.5041601921435697,0.7591607890069713,0.0,0.08435119877855235,0.042175599389276175,0.7610104259186894,0.6316604905752705,-0.5894848911859943,"Indeterminate, opposition-dominant"
H08,Argos/Argolid is the source region of the principal casting cores.,Intermediate,provenance,LEGACY-AGGREGATE,3.0,0.0,1.0,4.0,0.5041601921435697,0.7805287857720387,0.08057923525502309,0.29849379027970674,0.5205325395267981,0.7739086616855372,0.5591676608213967,0.8413955222084326,0.39800357786897345,0.6936450677595909,0.39800357786897345,0.6936450677595909,0.6423444889578042,0.7002815915149146,0.5458243228142822,0.09652016614352199,Indeterminate + contested
H09,Corinth area is the source region of the principal casting cores.,Intermediate,provenance,LEGACY-AGGREGATE,1.0,0.0,1.0,2.0,0.0,0.08215838362577488,0.26057454736802566,0.5183037783000577,0.5205325395267981,0.7739086616855372,0.6454695560172994,0.8910926565748398,0.4816962216999423,0.7394254526319743,0.0,0.08215838362577488,0.04107919181288744,0.7682811062960696,0.6105608371659583,-0.5694816453530709,"Indeterminate, opposition-dominant"
H10,Athens/Attica is the source region of the principal casting cores.,Intermediate,provenance,LEGACY-AGGREGATE,2.0,0.0,1.0,3.0,0.1818463954208961,0.44361428021759863,0.26057454736802566,0.5183037783000577,0.5205325395267981,0.7739086616855372,0.6454695560172994,0.8910926565748398,0.4816962216999423,0.7394254526319743,0.1818463954208961,0.44361428021759863,0.31273033781924736,0.7682811062960696,0.6105608371659583,-0.29783049934671096,Indeterminate + contested
H11,Megarid is a plausible source region for the principal casting cores.,Intermediate,provenance,LEGACY-AGGREGATE,1.0,0.0,2.0,3.0,0.1783029742662645,0.43173699499924356,0.5682630050007564,0.8216970257337355,0.544807647065757,0.7945643582233323,0.8034766213975348,0.9633702140509213,0.0,0.07849763545440791,0.0,0.07849763545440791,0.30501998463275404,0.883423417724228,0.039248817727203955,0.2657711669055501,Indeterminate
H12,Southern Greece is the most plausible broad source region for the principal casting cores.,Intermediate,provenance,LEGACY-AGGREGATE,3.0,0.0,1.0,4.0,0.5745206898020685,0.8481814209268672,0.15181857907313276,0.42547931019793156,0.19032682741930151,0.45545438797921767,0.3132502579941385,0.6871472793531306,0.0,0.16429268925457519,0.0,0.16429268925457519,0.7113510553644679,0.5001987686736346,0.08214634462728759,0.6292047107371803,Strong support
H13,Bronze B's right arm was subject to an ancient replacement/restoration/major modification.,Intermediate,restoration,ACTIVE,4.0,1.0,0.0,5.0,0.9344687975498058,0.998402778811708,0.0015972211882920016,0.06553120245019416,0.0,0.0,0.0015972211882919751,0.06553120245019417,0.0,0.1817553693863292,0.0,0.1817553693863292,0.9664357881807569,0.03356421181924307,0.0908776846931646,0.8755581034875923,Strong support
H14,Welding/assembly material is compositionally distinct from the principal casting core.,Intermediate,assembly,ACTIVE,1.0,0.0,0.0,1.0,0.5716493416739415,0.8210229419600025,0.17897705803999753,0.42835065832605845,0.0,0.0,0.17897705803999753,0.42835065832605845,0.0,0.09122477132888918,0.0,0.09122477132888918,0.696336141816972,0.303663858183028,0.04561238566444459,0.6507237561525274,Moderate support
H15,The copper-source signatures of A and B are different.,Intermediate,metal provenance,ACTIVE,1.0,1.0,0.0,2.0,0.5022395469791234,0.7629284520558722,0.23707154794412777,0.49776045302087657,0.0,0.0,0.23707154794412777,0.49776045302087657,0.0,0.08476982800620803,0.0,0.08476982800620803,0.6325839995174978,0.36741600048250217,0.04238491400310401,0.5901990855143937,Moderate support
H16,Bronze B's welding metal reflects a distinct and possibly later welding episode.,Intermediate,restoration / assembly,ACTIVE,1.0,1.0,0.0,2.0,0.5022395469791234,0.7629284520558722,0.23707154794412777,0.49776045302087657,0.0,0.0,0.23707154794412777,0.49776045302087657,0.0,0.08476982800620803,0.0,0.08476982800620803,0.6325839995174978,0.36741600048250217,0.04238491400310401,0.5901990855143937,Moderate support
H17,The tenon lead of A and B shares a Greek-source isotopic signature.,Intermediate,installation,ACTIVE,1.0,1.0,0.0,2.0,0.5022395469791234,0.7629284520558722,0.23707154794412777,0.49776045302087657,0.0,0.0,0.23707154794412777,0.49776045302087657,0.0,0.08476982800620803,0.0,0.08476982800620803,0.6325839995174978,0.36741600048250217,0.04238491400310401,0.5901990855143937,Moderate support
